path,class_id,split,class
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/sitting10.mp4",0,train,Grazing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/IMG_5441.MOV,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/011 (run side).mp4",1,train,Running
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/017 (run side).mp4",1,train,Running
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/002(run side).mp4",1,train,Running
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Running/031 (run side).mp4",1,train,Running
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Walking/004(walk side).mp4,4,train,Walking
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/047(sit side).mp4",2,train,Sitting
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/006(sit side).MOV",2,train,Sitting
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/IMG_5440.MOV,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Walking/030 (walk side).mp4,4,train,Walking
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/002(stand front).mp4,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/stand to sit transitionnn.mp4,3,train,Standing
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Sitting/023(sit front).MOV",2,train,Sitting
"/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Grazing, Running, Sitting)/Grazing_Running_Sitting Sheep_Classes/Grazing/33(front).mp4",0,train,Grazing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/008(stand front).MOV,3,train,Standing
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Walking/011(walk front).MOV,4,train,Walking
/work/mech-ai/ushashi/ME592HW3/Video Dataset of Sheep Activity (Standing and Walking)/Standing_Walking_Misc_Sheep_Classes/Standing/016(stand front).MOV,3,train,Standing
